시도명,시군구명,행정동명,법정동명,세대수 ,인구수 ,남성인구수 ,여성인구수 , 데이터기준일자 
대전광역시,유성구,진잠동,원내동,5361 ,12737 ,6455 ,6282 ,2020-04-01
대전광역시,유성구,진잠동,교촌동,1766 ,4954 ,2495 ,2459 ,2020-04-01
대전광역시,유성구,진잠동,대정동,1966 ,4993 ,2566 ,2427 ,2020-04-01
대전광역시,유성구,진잠동,용계동,1380 ,2034 ,1065 ,969 ,2020-04-01
대전광역시,유성구,진잠동,학하동,412 ,1088 ,623 ,465 ,2020-04-01
대전광역시,유성구,진잠동,계산동,2904 ,8192 ,4084 ,4108 ,2020-04-01
대전광역시,유성구,진잠동,성북동,200 ,430 ,231 ,199 ,2020-04-01
대전광역시,유성구,진잠동,세동,195 ,381 ,208 ,173 ,2020-04-01
대전광역시,유성구,진잠동,송정동,206 ,375 ,177 ,198 ,2020-04-01
대전광역시,유성구,진잠동,방동,205 ,425 ,228 ,197 ,2020-04-01
대전광역시,유성구,원신흥동,봉명동,5113 ,12875 ,6067 ,6808 ,2020-04-01
대전광역시,유성구,원신흥동,원신흥동,7310 ,15522 ,7513 ,8009 ,2020-04-01
대전광역시,유성구,원신흥동,상대동,6284 ,18131 ,8807 ,9324 ,2020-04-01
대전광역시,유성구,온천1동,봉명동,10187 ,14706 ,7544 ,7162 ,2020-04-01
대전광역시,유성구,온천1동,구암동,5877 ,11169 ,5780 ,5389 ,2020-04-01
대전광역시,유성구,온천1동,덕명동,3149 ,6660 ,3463 ,3197 ,2020-04-01
대전광역시,유성구,온천1동,복용동,702 ,1262 ,662 ,600 ,2020-04-01
대전광역시,유성구,온천2동,장대동,6285 ,12927 ,6645 ,6282 ,2020-04-01
대전광역시,유성구,온천2동,죽동,4128 ,10661 ,5301 ,5360 ,2020-04-01
대전광역시,유성구,온천2동,궁동,3911 ,5542 ,3228 ,2314 ,2020-04-01
대전광역시,유성구,온천2동,어은동,3758 ,10395 ,5247 ,5148 ,2020-04-01
대전광역시,유성구,온천2동,구성동,409 ,476 ,326 ,150 ,2020-04-01
대전광역시,유성구,노은1동,갑동,170 ,404 ,205 ,199 ,2020-04-01
대전광역시,유성구,노은1동,노은동,5891 ,15589 ,7789 ,7800 ,2020-04-01
대전광역시,유성구,노은1동,지족동,2419 ,6243 ,2978 ,3265 ,2020-04-01
대전광역시,유성구,노은1동,죽동,63 ,146 ,72 ,74 ,2020-04-01
대전광역시,유성구,노은2동,지족동,4353 ,12377 ,6035 ,6342 ,2020-04-01
대전광역시,유성구,노은2동,죽동,366 ,806 ,391 ,415 ,2020-04-01
대전광역시,유성구,노은2동,하기동,4041 ,10940 ,5410 ,5530 ,2020-04-01
대전광역시,유성구,노은2동,수남동,89 ,89 ,71 ,18 ,2020-04-01
대전광역시,유성구,노은2동,안산동,217 ,433 ,211 ,222 ,2020-04-01
대전광역시,유성구,노은2동,외삼동,248 ,514 ,264 ,250 ,2020-04-01
대전광역시,유성구,노은2동,반석동,19 ,32 ,19 ,13 ,2020-04-01
대전광역시,유성구,노은3동,지족동,9308 ,25072 ,12453 ,12619 ,2020-04-01
대전광역시,유성구,노은3동,반석동,3969 ,11236 ,5442 ,5794 ,2020-04-01
대전광역시,유성구,신성동,신성동,4971 ,11136 ,5928 ,5208 ,2020-04-01
대전광역시,유성구,신성동,가정동,71 ,72 ,64 ,8 ,2020-04-01
대전광역시,유성구,신성동,도룡동,3402 ,8142 ,4123 ,4019 ,2020-04-01
대전광역시,유성구,신성동,장동,90 ,103 ,66 ,37 ,2020-04-01
대전광역시,유성구,신성동,방현동,3 ,4 ,3 ,1 ,2020-04-01
대전광역시,유성구,신성동,화암동,135 ,242 ,147 ,95 ,2020-04-01
대전광역시,유성구,신성동,덕진동,38 ,39 ,30 ,9 ,2020-04-01
대전광역시,유성구,신성동,하기동,118 ,236 ,118 ,118 ,2020-04-01
대전광역시,유성구,신성동,추목동,985 ,3191 ,1644 ,1547 ,2020-04-01
대전광역시,유성구,신성동,자운동,51 ,90 ,46 ,44 ,2020-04-01
대전광역시,유성구,신성동,신봉동,880 ,2206 ,1187 ,1019 ,2020-04-01
대전광역시,유성구,전민동,문지동,1690 ,3805 ,1989 ,1816 ,2020-04-01
대전광역시,유성구,전민동,전민동,8933 ,22968 ,11672 ,11296 ,2020-04-01
대전광역시,유성구,전민동,원촌동,296 ,630 ,322 ,308 ,2020-04-01
대전광역시,유성구,구즉동,봉산동,3863 ,8322 ,4411 ,3911 ,2020-04-01
대전광역시,유성구,구즉동,송강동,7356 ,19273 ,9716 ,9557 ,2020-04-01
대전광역시,유성구,구즉동,금고동,6 ,7 ,6 ,1 ,2020-04-01
대전광역시,유성구,구즉동,대동,190 ,350 ,186 ,164 ,2020-04-01
대전광역시,유성구,구즉동,금탄동,104 ,170 ,78 ,92 ,2020-04-01
대전광역시,유성구,구즉동,신동,2 ,2 ,1 ,1 ,2020-04-01
대전광역시,유성구,구즉동,둔곡동,4 ,9 ,6 ,3 ,2020-04-01
대전광역시,유성구,구즉동,구룡동,48 ,112 ,63 ,49 ,2020-04-01
대전광역시,유성구,관평동,탑립동,243 ,515 ,271 ,244 ,2020-04-01
대전광역시,유성구,관평동,용산동,1607 ,4717 ,2371 ,2346 ,2020-04-01
대전광역시,유성구,관평동,관평동,8387 ,23758 ,12203 ,11555 ,2020-04-01
